verb	sense_num	queries
put	7.19	putting in install,  installing equipment
put	7.2	putting down basket,  putting books away,  putting back camera,  putting away books,  putting up sign,  putting in key,  putting camera back,  putting down passengers,  putting on paint
put	7.3	carry out fight,  putting on performance,  putting up fight,  carry out show
put	7.6	putting criminal behind bars,  putting away murderer,  be in prison,  prisoner behind bars
put	7.8	putting cat to sleep,  euthanize dog,  euthanize pet,  putting dog to sleep,  euthanize cat,  putting dog away,  euthanize,  putting pet down
put	7.9	someone gorging food,  putting away hotdogs,  eat a lot
sing	1	singing in choir,  bird singing,  person singing,  choir singing,  singing happy birthday,  singing orchestra,  singing,  birds singing
sing	2	kettle singing,  whistling sound from cooker,  pressure washing,  steaming tea kettle,  bullet singing
throw	1	horse throwing rider,  throwing money,  throwing a punch,  throwing punch,  throwing overboard,  throwing ball,  throwing dice,  throwing brick
throw	3	throwing level back,  throwing switch,  throwing car into reverse
throw	4	throwing spell,  searchlight beam,  fireplace emit heat,  fireplace heat,  radiate,  emit
throw	7	throwing pots,  throwing pottery,  potter throwing vase,  throwing vase,  throwing pot
throw	6	throwing a farewell party,  throwing a huge party,  throwing fit,  department throwing party,  hold event,  throwing get-together
change	1	face alter,  face changing
change	3	changing seats,  changing dance partners
change	2	changing bed linens,  changing doctors,  changing name,  changing sheets,  changing punctured tire,  changing tires,  changing clothes
change	4	changing trains,  changing planes,  changing in Atlanta,  changing buses,  changing in Chicago
sniff	1	sniffing flower,  dog sniffing,  dog sniffing bag,  Smelling Wine,  person smelling plant,  sniffing basil
sniff	3	sniffing disdain,  angry man,  express disapproval,  angry woman
sniff	2	sniffing glue,  sniffing drugs,  sniffing cocaine
sniff	4	police investigate,  police sniffing for evidence,  sniffing out trouble
chop	1	chopping with hatchet,  chopping wood,  chopping away,  chopping meat,  chopping vegetables with knife,  boat chopping,  man chopping wood
chop	5	make a hole,  shape by chopping,  chopping hole
chop	4	chopping opponent,  chopping player,  ball striking
chop	6	doing card trick,  hand chopping
turn	11	turning to police,  hand over,  turning over to police,  turning in papers,  turning in performance,  turning in thief,  turning in paper
turn	10	sprain knee,  twisting ankle,  sprain,  sprain ankle,  twisting knee
turn	12	get up from sleep,  getting up from sleep
turn	14	people gather rally,  turning out for party,  turning out for rally,  people gather party
turn	1	turning down,  turning soil,  turning cartwheels,  turning cake onto plate,  wheels turning,  vehicle change direction,  change direction,  turning page,  car turnaround,  turning key in lock
turn	2	light turning green,  weather turning nasty,  undergo a transformation,  milk turning,  turning 40,  water turning into ice,  leaves turning,  turning frog into prince,  turning garden into paradise
turn	5	turning on,  turning out lights,  turning off,  turning off switch,  turning on light switch
turn	7	finding something,  discover something,  search turning up nothing,  turning up box
turn	9	turning wood,  turning pots,  potter throw pottery,  turning legs,  throw pottery,  shape by rotating
turn	8	factory turning out cars,  produce
stand	7.14	people standing by,  person standing still,  police standing by
stand	7.12	ship out of shore,  ship away from shore
stand	1	person standing upright,  hair standing up,  standing up,  standing on legs,  standing upright
stand	3	standing tall,  standing accused,  standing empty,  standing corrected
stand	7.1	standing back
stand	7.7	standing still,  person standing still
stand	7.8	standing shelf up,  hair standing up,  standing up,  get up,  arise
swing	1	gate swinging,  swinging about,  swinging from tree,  kids swinging from tree,  play swinging,  swinging across chasm,  car swinging around corner,  move in a curve,  swinging partner around,  swinging back and forth
swing	2	hanging lightbulb,  hanging chime,  swinging bulb,  swinging
swing	7	sweeping arm movement,  sweeping arm,  hit with arm movement,  arm movement,  swinging at,  swinging at referee
climb	1	climbing ladder,  rates climbing,  value climbing,  climbing mountain,  climbing up hill,  spider climbing,  climbing up list,  sales climbing,  clumb up hill,  climbing up waterspout,  climbing upward,  temperature climbing
climb	3	climbing ladder,  climbing on mound,  climbing mountain,  climbing mount,  climbing down ladder,  climbing over me,  climbing boat,  climbing furniture,  climbing down mountain,  climbing on board,  climbing on back,  climbing horse,  climbing over furniture,  climbing down from stand,  baby climbing on furniture,  climbing in boat,  climbing on bandwagon
climb	2	climbing path,  riad climbing,  path climbing,  path meander,  climbing trail,  train climbing
feed	1	feeing kids,  feeing animals,  feeing guests,  serving food to guests,  person feeding kids,  feeing chicken,  preson feeding animal
feed	2	feeing information,  feeing logs,  feeing data,  throw logs into fire,  feeing images,  feeing carrots,  feeing lines
feed	5	dog eat,  dog feeing,  eat,  dog fed meat,  pigs fed at trough,  pig eat,  pig feeing
feed	6	road feeing into freeway,  road feeds into freeway,  river feeds into lake
point	1	pointing the way,  pointing,  pointing to gun,  pointing direction sign,  pointing finger,  pointing towards something
point	3	highlight text,  mark text,  underline text
point	2	pointing dart,  person pointing gun,  pointing horse,  pointing ship,  gun pointing,  pointing mouth,  person throwing darts,  pointing into wind,  pointing criticism
point	5	pointing walls,  pointing bricks,  person repairing chimney bricks,  person repairing bricks,  repair bricks,  pointing chimney
point	4	pointing toes,  pointing tip,  pointing brush,  shape into a pointing,  ballerina on pointe
float	1	floating down river,  floating log,  floating logs,  floating on liquid,  floating boats floating ship,  bottle floating,  floating boats,  floating on river,  clouds floating
float	3	floating across stage,  floating about,  floating around,  ballet dance floating,  move gracefully ballet,  floating around room
float	5	floating wall,  make surface smooth,  floating plaster,  make surface level,  floating out wall,  plastering contractors,  smooth cake batter,  floating surface
walk	10	walking in on person,  walking in on row,  walking in on robbery,  interrupting people
walk	1	walking with limp,  walking the plan,  person walking,  walking tightrope,  walking with crutches,  cross by foot,  walking in park,  people walking,  person walking on rope,  walking park,  walking garden,  amble,  walking miles
walk	2	walking to car,  walking horse,  man walking horse,  walking the dog,  walking dog,  walking to door,  walking cat
walk	4	walking out on children,  walking out,  walking out of shop,  customer walking out,  walking out on husband,  workers strike
walk	6	walking with bases loaded,  baseball walking,  baseball player walking,  walking batter
walk	9	beat up,  abuse,  person abusing wife,  wife abusing husband
wash	1	washing face,  washing off paint,  washing up,  clean washing,  washing dirt,  clean,  washing towels,  washing hands,  washing blood,  cat clean
wash	2	body washing down river,  washing down river,  river washing ravine,  rain washing out game,  Washed Up On Shore,  river washing away bridge,  water washing minerals,  waves washing shore
wash	5	food with drink
wash	4	apply coating of paint,  apply paint,  washing with paint
brush	1	brushing hair,  brushing rub clean,  rub,  crush crumbs from shirt,  groom,  brushing hair from jacket,  brushing suit,  brushing crumbs,  brushing the suit
brush	2	brushing wall,  sweep the floor,  brushing bread with butter,  skirt brushing floor,  brushing sugar on cake,  touch lightly,  brushing elbows with boss
carry	9	carrying boy,  carrying girl,  woman expecting,  carrying to term,  pregnant woman,  carrying twins,  be pregnant
carry	1	person carrying boxes,  carrying argument,  problems carrying over,  carrying war into province,  person carrying books,  person carrying bag,  carrying bags,  sound carrying,  carrying total,  carrying credit,  rifle carrying,  voice carrying,  ambulance carrying athlete,  carrying number,  carrying ball,  carrying plankton,  carrying forward balance,  carrying news,  carrying over budget,  news carrying
carry	3	take care of person,  support,  support weight,  support beams carrying roof,  carrying burden,  carrying weight
carry	2	carrying scars,  payroll carrying,  news carrying press conference,  carrying water,  crime carrying penalty,  opinion carrying weight,  face carrying frustration,  loan carrying interest,  carrying insurance,  carrying cause,  carrying holder,  carrying smile,  restaurant carrying menu,  carrying cane
open	1	someone opening a door,  door opening,  opening door,  hand opening box,  opening hood,  opening browser,  opening file
open	3	path lead to,  opening to terrace,  opening into field
open	5	troops firing with gun,  opening fire,  gun shooting
open	4	unfold wings,  opening arms,  person with opening arms,  unfold arms,  opening wings,  opening up fingers,  bird flying wings
speak	1	people chatting,  speaking with couples,  speaking of man,  speaking of person,  heart speaking,  music speaking,  writer speaking,  speaking in whispers,  children speaking,  people talking,  speaking Spanish,  communicate through speech,  writer talk
speak	2	speaking at conference,  speaking at dinner,  give seminar,  give fromal speech,  speaking in public,  give a formal lecture,  give lecture,  give formal lecture,  give a formal speech
bite	1	dog biting,  crocodile biting,  biting lip,  mosquito biting,  biting piece,  bug biting,  biting off arm,  biting meat
bite	3	biting hand,  wind biting,  biting hands,  mailbox biting,  biting teeth,  insect biting,  that it pains you
bite	2	knife cut,  knife biting,  knife flesh,  knife cake
bite	5	accept bait,  fish biting,  biting bait,  bait fish,  fish biting bait,  accept offer
bite	4	utter sharply,  biting out curse
overlook	3	overlooking work,  supervise children,  manage people at work,  supervise people,  supervise staff,  supervise
overlook	2	overlooking view,  overlooking parking lot,  office overlooking parking lot,  office overlooking view
paint	1	make painting,  make painting art,  artist painting on canvas,  artist painting,  art class painting,  painting chair art
paint	2	man painting ceiling,  painting house,  painting with brightening agent,  man painting wall,  painting room,  painting ceiling,  painting wall,  coat with liquid,  man painting house,  coat with painting,  painting gutters,  painting trim
serve	8	wind with,  wind with wire,  serving wire,  serving yarn,  serving forestays,  wind with yarn,  serving with yarn
serve	5	serving time for robbery,  be in prison,  serving twenty years,  serving prison sentence,  serving full term,  serving in prison,  locked up,  serving time,  locked up in prison,  spend time in prison
serve	4	hand out food,  waiter serving food,  serving meal,  serving meals,  hand out,  dish out food,  serving food,  dish out,  sheriff serving papers,  serving up entertainment,  serving summons,  serving drink
serve	7	serving tennis,  serving ace,  serving table tennis,  tennis serving,  tennis star serving,  serving erratically,  serving volleyball,  serving ball,  serving badminton
serve	6	mate with,  stallion serving mare,  ox mate with cow,  mate with animal,  dog mate with dog,  stallion mate with mare,  stallion mates
lift	1	raise,  lifting bike,  lifting boxes,  lifting book,  lifting eyes,  lifting hand,  people carrying book,  holding bicycles up,  floor is lifting
lift	3	rid of,  fog lifting up,  take away,  fog lifting,  remove
lift	2	plane lifting off,  sales lifting off,  planes lifting off,  flight take off,  plan lifting off
lift	4	shoplifting,  lifting paragraph,  stealing in shop,  lifting money,  lifting cattle,  stealing money,  lifting property,  lifting text
lift	7	lifting potato,  lifting bulb,  digging up beets,  digging potatoes,  lifting beet,  lifting pasta from pot
lift	9	lifting brow,  suture lifting face,  perform cosmetic surgery,  plastic surgery gone wrong,  lifting face,  lifting skin
lift	8	lifting climbers,  lifting food,  Container Lifting Crane,  helicopter lifting something
stick	1	hair sticking,  door sticking,  sticking seal on document,  sticking labels,  stay in place,  adhere,  wallpaper sticking,  sticking about,  sticking around,  sticking seal,  sticking coat,  sticking label on envelope,  sticking to wall,  sticking on problem
stick	2	pierce,  ticket in ticket,  sticking hand out window,  sticking needle,  sticking reference to book,  sticking photo onto board,  nail sticking out,  sticking needle into finger,  poke into,  sticking photo onto,  protrude,  sticking ticket,  lettering sticking out,  sticking hand out
catch	1	catching in traffic,  catching rain water,  catching rainwater,  catching ball
catch	2	student copying in exam,  catching child,  discover in the act,  catching senator,  catching heart,  catching rabbit,  catching eating candy,  catching out student,  catching spirit,  catching shoplifting,  catching thief
catch	4	catching up with,  running to catching train,  catching up with friend,  catching train
