lemma	sense_num	definition	ontonotes_sense_examples	visualness_label
move	1	change position or cause to change position	"Can you help me move these boxes to the other wall?
He moved his hand to his brow, as if dizzy.
I want to move all my accounts offshore.
The stock market hasn't moved much this week.
Earnings have been moving lower in the last quarter.
Messages must move through the proper channels.
Over the years, his music has gradually moved from folk to blues.
The company is moving towards more outsourcing of their manufacturing.
Have any mandolin players moved on to fiddle?
Move out, troops!
Hey, move over and give me some room."	1.0
move	2	intentionally act, decide	"She is really moving on this project.
We moved quickly on the buyer's offer.
White moves first in chess.
They moved to adjourn until tomorrow morning.
God moves in mysterious ways."	0.0
move	3	affect, impress	"Brahms' music moves her deeply.
Having a heart attack has moved him to make some lifestyle changes.
The pictures of the starving children moved us all."	0.0
move	4	change residence, affiliation, or place of employment	"We moved from Idaho to Nebraska.
Corporate headquarters will move to Miami next year.
When I moved to Acme Toys, my salary almost doubled.
I'm moving to the Republican Party.
My father was in the military, and we moved around a lot.
Let's move in together.
They moved out of their condo and into a house."	1.0
move	5	sell, dispose of	They are really trying to move last year's models now.	1.0
move	6	socially or professionally interact	"She moves in the highest circles in Washington.
He is moving with a tough crowd these days.
He's really moving up in the world."	0.0
move	7	make intrusive or aggressive advances on	"Don't move in on my girlfriend!
Canadian police moved in on terror suspects."	0.0
rest	1	cease exertion or action; relax; sleep	"Let's rest here in the shade.
Quiet; he's resting.
The birds rested high in the tree.
The committee is resting over the summer.
Rest assured, I won't stop until I've found her."	1.0
rest	2	(cause to) be situated, fixed, or supported	"The unusual split-level Colonial rests in a peaceful portion of the town.
He earmarked the very place where President Washington had rested his hand.
Rest your head on my shoulder.
The book rests in a place of honor on the shelf.
Here rests an honored soldier.
She rested the cane against the wall."	1.0
rest	3	give a rest to; cause to be inactive	"Alexander then rested his troops.
You need to rest that leg.
We sold 300 of these lambs and rested the field for two weeks."	1.0
rest	4	rely on; be vested in	"Libby's fate now rests in the hands of the jury.
Apple smart phone project rests on Mac OS X tie-ins.
Her account of the phenomenon rests on a misleading use of statistics.
The responsibility rests with the Allies."	0.0
watch	1	look at or observe something or someone	"Are you coming to watch the game?
I watched him as he walked off down the street.
I wasn't watching for him.
I got the feeling I was being watched.
They won't let me watch tv tonight.
Watch how the dog chases the cat away.
I watch the market every day."	1.0
watch	2	be alert for an anticipated/possible event	"Watch out for the pickpockets!
Your job is to watch for anyone coming.
Please watch for the opportunity to volunteer for this group."	1.0
watch	3	monitor closely with authority and control	"Can you watch the baby while I go upstairs?
The shepherd watched the flock white llamas.
He watched the prisoner all day.
It's your turn to watch the camp tonight.
Please watch over my stuff while I go to the restroom."	1.0
watch	4	actively control, manage	"Watch your language!
Watch where you are going!
I need to watch my weight.
Watch what you are doing with your knife."	0.0
shake	1	move or cause to shudder or vibrate	"The chemist shook the flask vigorously.
His hands couldn't stop shaking.
He was shaken from his dreams.
Shake the salt out of the salt shaker.
He shook off his water logged boots.
I shook my piggy bank but all that came out was a paper clip.
The 6.2 magnitude quake shook the densely populated province.
A child 's brain and body can be injured when he or she is shaken."	1.0
shake	2	make unstable, undermine, cause to waver, challenge	"My faith has been shaken.
The bad news shook her hopes.
The civil war shook the country.
I'm all shook up!
The sinister and surreal events of the night shook him up so badly that he resigned."	0.0
shake	3	make a communicative gesture	"She shook her finger at the naughty students.
Teach your horse to shake his head yes and no.
They ought not shake hands with people while they are infected.
Don't shake your fist at me.
Shake, shake, shake, shake your booty."	1.0
shake	4	get rid of	"I couldn't shake the feeling that I was being watched.
He tried to shake the car that was following him.
He shook off his image as one of international football's conservatives.
Daughter Barbara shook off her Secret Service escort."	0.0
shake	5	shuffle and reorganize	"The corporation shook up its financial staff after the buyout.
As rumored , Microsoft shook up Windows development by putting Steven Sinofsky in charge."	0.0
touch	1	make physical contact with, possibly with the effect of physically manipulating.	"He touched her once and she turned into a golden creature.
Amanda touches all the yarn in the store every time she goes in.
They touched their fingertips together and smiled.
The stallion was never touched by human hands.
If Kendrick told his men that Santiago wasn't to be touched, then why did he have to be transferred?
Mosquitoes bit my friend all over but they barely touched me.
She's barely touched her dinner.
You haven't touched the oil paints I sent you last month!
The police can't touch me!"	1.0
touch	2	be or come in contact without control	"The two buildings touch.
They sat so close that their arms touched.
The sunlight touched the wall.
The ball touched the ground and bounced 4 feet in the air.
The shadow of the building touched me as I walked underneath."	1.0
touch	3	affect someone emotionally	"Her newest novel touched me.
The president's speech touched a chord with voters.
You really touched a nerve with that comment!
He touched many lives in his short time here on Earth.
Their hearts were touched with fire.
He was seen as a genuinely special politician, one who was touched with the mantle of greatness."	0.0
touch	4	make reference to, involve oneself with	"They had wide-ranging discussions that touched on the situation in the Balkans.
His speech only touched on foreign policy issues.
She touched on the fact that the corn lobby has much to gain from ethanol subsidies.
I wouldn't touch that topic with a ten-foot pole.
The local Mafia won't touch drug dealing."	0.0
touch	5	Achieve a value or quality	"Nothing can touch cotton for durability.
As soon as the temperature touches 75 degrees, they turn on the air conditioner.
The villains in this novel hatched plots that touched on the ludicrous."	0.0
touch	6	Tinge; repair or improve the appearance of	"The jeweler touched the earrings with gold.
They always touch up the photos before publishing them in the magazine.
Would you touch up the paint in the kitchen?
Excuse me, I need to touch up my make-up.
He touched on the paintings, trying to get the colors right."	1.0
blow	1	exhale hard	"She blew on her soup to cool it.
Go blow your nose.
He made a wish and blew out the candles.
The whale blew again, and they were close enough to catch some of the mist."	1.0
blow	2	(cause to) be in motion due to air currents	"The wind blew from the west.
The leaves were blowing in the wind.
I blew my hair dry.
The wind blew the leaves around in the yard.
She blew me a kiss.
The bald eagle controversy was the biggest storm to blow through the bird-watcher community."	1.0
blow	3	make a sound	"The whistle blew.
The trumpets blew.
He blew the horn.
No one should blow their car horn in anger."	1.0
blow	4	explode, burst or break suddenly	"He blew up his garage with a botched experiment.
How does a volcano blow its top?
My only transportation blew out a spark plug for the fifth time.
My microwave blew a fuse, and when I replaced it, it blew again.
Someone's laptop just freakin blew up and started a cozy little desktop fire!
The bomb blew off the roof of the building.
The oil well blew out."	1.0
blow	5	spend wastefully; squander	"He blew his inheritance on wild living.
She blew her bonus money on one outrageously expensive bottle of wine."	0.0
blow	6	make a mess of; ruin or jeapardize	"The senator admits he blew the whole campaign with that one comment.
""I blew my last chance to get him back,"" she sobbed.
Our strategy of pitting our enemies against each other just blew up.
The story blew the agent's cover."	0.0
blow	7	shape by blowing	Only a true artisan could have blown that vase.	1.0
blow	8	provide sexual gratification through oral stimulation	She stopped coming there to blow the president.	1.0
blow	9	leave	Let's blow this joint.	0.0
blow	10	lay eggs	Unable to find an attested example.	1.0
blow	11	show off	Unable to find an attested example.	0.0
blow	12	get very angry and fly into a rage	"When my mother found out where I'd been, she blew her stack.
When you tell him you didn't finish the report, he will blow up.
She made sports page headlines when she blew a fuse over trade talks involving her hubby."	1.0
blow	13	fill with or as if with air	"We blew up 15 balloons for the party.
Her face blew up from the drugs."	1.0
blow	14	exagerate or embellish	"I'd like to have this picture blown up to a 5 x 7.
The tabloid press blew up the story about the 'party boat loaded with drugs.'"	1.0
blow	16	surprise, outdo or impress greatly	Her news really blew me out of the water.	0.0
cut	1	make an incision or separation	"He cut the rope in half.
The surgeon cut cleanly with the scalpel.
The new knives cut beautifully.
They cut the grain during the fine fall weather.
He cut his finger on the broken glass.
They cut our supply lines.
Cut the deck.
The boat cut through the water.
Use the soap. It will cut the grease.
His criticism cut me deeply.
Cut away the branch.
They cut down the trees behind their house.
Cut in the butter.
The shovel cut right into the rich soil.
Van Gogh cut off his own ear.
Father cut up the ham.
She cut her nails short.
I really need to get my hair cut.
The gardener cut back the bushes."	1.0
cut	2	trim, reduce, dilute, eliminate	"She was cut down in her prime.
You need to cut calories if you want to lose weight.
This cuts into my earnings.
The company wants to cut back on health benefits.
The editor recommended cutting several chapters from the manuscript.
Cut the whiskey with water.
The coach cut two players from the team.
You need to cut back on your drinking.
You can tell he cut corners because the quality is lower than usual.
They cut down on expenses.
Cut out the extra text."	0.0
cut	3	make or form (as if) by incision or grinding	"I love how she cuts my hair.
He learned to cut diamonds from a master.
She cut paper dolls all morning.
They cut the trenches in a matter of hours.
He cut the dress in the latest fashion.
They cut the deal after much negotiation.
Richards cut the film in 12 days, and we released it on time.
She cut all her major titles again.
It's my dream to cut a record.
Would you cut me a CD of that?
She cut a check for the full amount."	1.0
cut	4	turn abruptly or travel in a certain direction	"The car cut to the left at the intersection.
We cut through the neighbor's yard to get home sooner.
They cut across the platform and behind the curtain.
Opinions on the bombing cut across party lines.
The boxer cut upward toward his chin.
It cuts abruptly from one scene to the next.
The cameraman cut away from the departing train to focus on the heroine.
The film cut back to an earlier event in the story.
Did you see him cut in front of me?
If you want to dance with her, why not just cut in?
She was cut off at the turn.
The way he cuts the ping-pong ball puts a nasty spin on it."	1.0
cut	5	stop, cease, turn off	"Would you cut all that racket!
You should always cut the engine when you refuel.
She cut him dead at the meeting.
We had to cut short our conversation.
The director shouted to cut the scene.
He was cut off right near the end of his speech.
The motor cut out at the most inopportune time.
He cut class and met his girlfriend out behind the school."	0.0
cut	6	sever contact with; isolate	"They cut their son off without a penny.
The town was cut off from civilization during the snowstorm."	0.0
cut	7	grow through the gums	"The baby is cutting a new tooth.
The new tooth is cutting"	1.0
cut	8	do, manage successfully	"The new player just cannot cut it.
He could not cut the long hours and decided to quit.
So you think you can cut it?
You will have your work cut out for you."	0.0
cut	9	have a certain appearance	He cuts a nice figure.	0.0
cut	10	frolic	"When he heard the good news, he cut a caper, grabbed her hands and spun her around.
Do you ever cut loose and have a good time?"	0.0
mix	1	combine or blend things, qualities, or activities	"In a large bowl, she mixed together the flour and dried fruit.
Oil and water don't mix.
At this stage of making the cake, mix in the nuts.
I'll mix some drinks for you and your friends.
A few times he forgot to put on gloves and mixed the cement by hand.
Damian then mixed a soundtrack corresponding to the images.
Some people are happy to mix business and pleasure, but I'm not one of them.
That is what parents do: mix joy and worry, pride and potential problems.
He mixed browns and golds in his design to create a sense of warmth.
Don't mix food and tv.
Make sure not to mix alcohol and prescription medication."	1.0
mix	2	assemble without order or sense, cause to be confounded	"She mixed the cards carefully and asked her friend to cut them.
He mixes up the words when he is told to give an inpromptu speech.
I always mix up the the dates.
He tries hard to not mix up the twins.
I think his explanation mixed me up more."	1.0
mix	3	participate or become involved socially	"I suppose you mix with a wide variety of people in your job.
She mixes very well - perhaps that's why she's so popular.
For the scavenger hunt, we'll mix the boys and girls on each team.
He got himself mixed up with the wrong people.
I heard them arguing but decided not to mix in.
In the case of a family argument, a friend should not mix in."	0.0
fix	1	repair,mend	"They charged a lot to fix my car.
I'm fixing that tear in your jacket."	1.0
fix	2	fasten,secure	"The cat got out when the latch to the back door wasn't fixed.
Let's fix the picture to the frame As he was fixing his hand on her shoulder, she turned at him with an icy glare."	1.0
fix	3	specify	"See what you get when this variable is fixed to a higher value.
We haven't fixed the date for our wedding yet."	0.0
fix	4	prepare, make, get ready	"She was fixing dinner when the phone rang.
Can you fix these samples and send them over to pathology?
I was fixing to leave town after I paid the hotel bill."	1.0
fix	5	take revenge on	Just wait, I'll fix you!	1.0
fix	6	sterilize	She's going to get her two cats fixed next week.	1.0
dribble	1	run or flow slowly	"Water dribbled from the leaky faucet.
Liquid dribbled from the counter on to the floor.
The honey will dribble over the pastries."	1.0
dribble	2	let or cause to fall in drops	"Jenna dribbled wine into the glasses.
The bartender dribbled vodka down the ice chute.
Chef Barney dribbled chocolate sauce artistically over the plate."	1.0
dribble	3	propel, as in basketball	"The player dribbled down the court.
David Beckham dribbled down the field for a goal.
The penalty was caused by a player's failure to dribble properly."	1.0
dribble	4	let saliva drivel from the mouth	"The baby dribbled and drooled onto its bib.
Sometimes Grandpa dribbles because he doesn't have any teeth.
I laughed so hard I dribbled!"	1.0
spread	1	(cause to) open to full extent or width	"He spread his arms wider and gave her a devilish grin.
The bird spread its wings, as it swooped down on a dead tree near a billboard.
Orsyn spread the map out so all could see.
Then slowly, once again, the pianist spread his fingers onto the keys.
These birds can spread out their toes.
We spread the picnic rug out on the ground and sat down to eat."	1.0
spread	2	distribute or disseminate; be widespread	"She spread butter and jam on the bread.
Dr. Khronos has been spreading the information about his Vital Energy tapes.
Spread out the seed and dry thoroughly before placing in a storage container.
I use a small paint brush to spread varnish over the coil windings.
The redundancies are spread across the clothing, banking and building industries.
If we spread the work between us, it won't be so bad.
They went back to the great hall, and a feast was spread for the king.
We spread the bicycle parts out on the floor.
The houses were spread out in a long row.
A big oil spot spread across the water.
Spread the news to your friends!
Rumor and truth spread like wildfire when it came to his antics and sexual adventures.
The fire ants had spread across the South, causing panic among local populations.
Group members took signs, lit candles, and spread out along the street.
The AIDS virus is spread through contact with blood and other body fluids.
The suburbs spread out for miles to either side of the city."	1.0
spread	3	cover	"He spread the bread with cheese. (NOTE: compare to example in sense 2) Taking a cue from one of their father's sermons, they spread the ground with ash.
Exhibition openings are often potluck parties where artists spread the table with homemade favorites.
Eurynome and the nurse spread the bed with soft coverlets."	1.0
board	1	get onto a passenger vehicle	"The solemn, gray passengers boarded the train.
We better hurry, our plane is boarding!
The British then boarded the Altmark at 2200 hrs.
The pirates began boarding the king's ship!"	1.0
board	2	lodge and take meals at	"Ted boards at the old hotel.
I need a place to board for a week.
He is boarding in my mother's house while she is living in Europe.
My cousin boarded with the Stevenson's."	1.0
board	3	provide lodging and meals for	"The old lady on the corner boards travellers in her home.
My mom boarded my cousin for almost four months."	1.0
board	4	cover with wooden boards; secure	"If you're afraid of high winds, board your windows!
We boarded up the hole in the wall.
Board up the windows, the tornado's a-comin'!
They boarded up the windows and doors of the abandoned houses."	1.0
smile	1	change facial expression by spreading the lips, often to express pleasure	"He thought about his friends back in the forest and for a moment he smiled.
She smiled that cold, enigmatic smile again, and my blood turned to ice."	1.0
smile	2	communicate a message by or while smiling	"Silently he poured her a drink, and when he handed it to her, she smiled her thanks.
But yes, this time the terms cancelled and he smiled his assent."	1.0
include	1	classify or contain as a part or constituent	"Mercury is included among the elements known as heavy metals.
It turns out we can't include these expenses as business deductions.
Your responsibilities will include making appointments on my behalf.
Does this bill include service charges?
I include pecans in my recipe for upside-down pineapple cake.
The invitation includes the reception afterwards."	0.0
include	2	allow, welcome, or invite into a social group, act, or event	"The invitation includes you!
Her puppy just wants to be included in the fun.
They won't include him in the playoffs because of his recent use of steroids.
The small nation hoped to be included in the trade talks."	0.0
kick	1	physically hit, strike, or propel with foot	"I kicked the ball as hard as I could.
He was accused of kicking a man in the face.
She felt the baby kicking inside her.
Looks like you kicked down the door and took your best shot!
They kicked the ball downstairs.
They kicked the ball upstairs.
They kicked the ball back into the box.
They kicked the ball around.
They kicked the ball about the house."	1.0
kick	2	be alive or be active; wander or wait	"Is he still kicking around the house with a job?
He still kicks about town.
Does the old man still kick around.
She kicked her heels for hours at the game of the embassy."	1.0
kick	15	stop or quit an activity or habit	To kick my habit, I sought out some of the stranger places to drink in this town.	0.0
kick	16	complain	"She has a lot to kick about.
Stop kicking about your old sixth hole! You've had the darndest luck I ever saw, and yet you grumble."	0.0
swim	1	Travel (as if) through water.	"He swam to the island.
We had to swim for twenty minutes to reach the shore.
A big fish was swimming in the tank.
We were swimming through mounds of paperwork.
She was swimming in admiration.
The bacteria swim through the blood stream and eventually reach the heart."	1.0
swim	2	Be afloat, stay on or in a liquid surface.	"Who knows whether the plan will sink or swim.
Ice cubes swim on the surface of water.
Metal pieces were swimming around in my drink.
The steak was swimming in thick brown gravy."	1.0
swim	3	Feel dizzy or be confused; have confused, rapid thoughts.	"My head was swimming from the booze.
His head was swimming with new ideas."	0.0
shoot	1	propel a projectile, hit with a projectile	"He was shot in the head.
Stop shooting me with those rubberbands!
He shot 3 innocent bystanders before being apprehended.
They shot down several enemy aircraft.
She shot down my proposal.
Don't shoot until you see the whites of their eyes.
The ballistic missiles were shot at noon.
I wonder what they shot at?
You can't go around shooting off your mouth.
Martine shot back an answer."	1.0
shoot	2	(cause to) move suddenly and swiftly in a particular direction	"He shot into the street to grab his daughter.
The star shot through the sky.
The dragon shot flames out of his mouth.
The pain shot up her leg.
Shoot the dice.
I shot him a glance.
The cloth was shot through with metallic thread.
Prices shot up overnight.
The motorcycle shot down the street."	1.0
shoot	3	make a film or picture	"He shot the movie in black and white.
She shot over 200 photos at the wedding."	1.0
shoot	4	inject	"We shot glucose into the patient's veins.
They shot hydrogen into the balloon.
He shoots up every chance he gets."	1.0
shoot	5	score in or play a game	"He shot a 3-point basket to win the game.
My uncle loves to shoot craps.
She shot a hole-in-one!"	1.0
shoot	6	measure the altitude by using a sextant	The astronomer shot the star Sirius.	1.0
hit	1	strike with an instrument, missile, or oneself	"Jasmine hit the ball to her cousin.
When the car hit the tree, the windshield shattered.
Don't hit your brother!
He was hit with a bullet at close range.
Khruschev is famous for hitting his shoe against a table to interrupt a United Nation's speech."	1.0
hit	2	figuratively strike; affect or experience suddenly	"We were hit by really bad weather.
The earthquake hit a midnight.
The Germans hit Poland that September.
An interesting thought hit her.
His words really hit home.
The company was hit with an injunction."	0.0
hit	3	reach, attain	"We hit Detroit by noon.
The product should hit the market in June.
Let's hit the stores right when they open tomorrow.
I need to hit the books before exams.
The temperature hit 100 degrees today.
The water hit the top stair in out basement.
Her speech hit a sour note at the end.
You hit the bullseye!
He hit the jackpot!
You hit the nail on the head!"	0.0
hit	4	consume to excess	"Every time she gets upset, she hits the bottle.
Don't you think you're hitting the cookies kind of hard?
He really hit it up last night."	1.0
hit	5	perform a type of ball striking in a sport	"Williams hit a pop fly to center field.
He's hit 32 home runs already this season.
She hit a long drive to the middle of the fairway.
He hit .300 last season."	1.0
hit	6	discover or encounter, esp. by chance	I hit on the idea while chopping vegetables.	0.0
hit	7	pay unsolicited sexual attention to	He likes to go to bars and hit on women.	1.0
hit	8	throw oneself to the ground	When the shots rang out, everyone hit the dirt.	1.0
hit	9	become angry and express rage	"When she came home at 2a.m., her father hit the ceiling.
I nearly hit the roof when I saw the Visa bill."	0.0
hit	10	go to sleep	"I need to hit the hay.
You should hit the sack"	1.0
read	1	look at and grasp the meaning of written materials	"I don't have time to read novels.
Have you read Tom Clansy?
Can you read Chinese?
Teach me to read Braille.
He has a very bad sense of direction and can't read maps.
Where you see ""male"" read ""female."""	1.0
read	2	contain or have a specific wording or information	"We just passed a sign that reads DANGER.
The law reads as follows.
Let us see how this passage reads in all three canonical Greek.
The thermometer read forty degrees in the shade.
Recite the poem exactly as it reads.
As the law reads, defendant is guilty.
How does you new watch read?"	1.0
read	3	attribute a certain interpretation or meaning to	"She read the sky and predicted rain.
I can't read his strange behavior.
I can read your mind like an open book.
She's so hard to read.
I read this address as satire.
Read this novel as a parable.
I read her words differently than you did.
I can read abandonment in a broken door or shattered window.
The tracker read the trail for signs of game.
Read between the lines to discover the truth."	0.0
read	4	utter or render out loud a written          material, perhaps as an audition.	"The King will read the proclamation at noon.
The teacher is reading the poem to the students.
We read to the children every night.
He read for the part."	1.0
read	5	obtain data from a medium	"(Computer Science) Can your program read this file?
The computer can't read this disk.
Nano-wires have been used to read DNA efficiently.
Read and translate the codons on m-RNA into the appropriate amino acid."	0.0
read	6	study or get knowledge	"She is reading for the Bar.
They are both reading history at Cambridge.
I read that the interest rates would continue to rise.
We read about earthquakes in school today."	0.0
read	7	receive audio (as in over radio)	"Do you read me?
I read you loud and clear."	0.0
stop	1	halt,quit,discontinue something	"The car stopped at the red light.
Stop worrying so much!
I couldn't stop the baby's crying.
They stopped production of the new drug after three patients using it died.
The committee will stop at noon for a two-hour lunch break.
The sexual revolution of the 1960s has been stopped dead in its tracks by the AIDS epidemic."	1.0
stop	2	check,contain or prevent something	"These measures may stop a new flu epidemic, should one arise.
They hope this will stop interest rates from rising further.
She doesn't believe the new policies have stopped the spread of terrorism.
The fighter jets stopped the intruding aircraft before it reached the capitol."	0.0
stop	3	visit or travel to	"On all those trips, he never managed to stop in Japan.
Will you be stopping at the club this evening?
That train stops in Denver but not in Phoenix.
Let's stop at Aunt Jane's house on Halloween.
We had to stop over in Venezuela on our flight back from Brazil."	0.0
stop	4	have a boundary or terminating point	"His property stops at the fence.
The countryside stopped abruptly at the edge of the large chemical plant.
Their guilt doesn't stop with just the intent to commit fraud, they actually committed it.
The second momement stops on a bright E-major chord."	0.0
stop	5	barricade, block up, plug	"The police stopped the bus road leading out of town.
He stopped up the broken window with his gloves.
He stopped up the chimney and the smoke thickened."	1.0
break	1	come apart, separate, split	"The figurine broke.
He broke the glass plate.
The surf was breaking on the rocks.
Break the bread into small pieces.
They are afraid the dam will break.
Could you break a $20 for me?
The book dealer would not break the set.
The referee broke the boxers.
Were they able to break the tie?
The branch broke when he swung on it.
The glass broke when it was heated.
She didn't break her foot playing volleyball.
The artillery fire was breaking the ranks of soldiers into disorganized bands."	1.0
break	2	render inoperable, ruin, undo	"You might break the alarm clock if you take it apart.
He says she'll break the bank if she spends like that.
I keep breaking this code everytime I make a change to it!
This performance will make or break his career.
My daughter's wedding is going to break me!
The fan belt finally broke on his old car.
The prosecutor broke the defendent's alibi with new evidence."	1.0
break	3	interrupt, stop, discontinue	"She has decided to break all ties with him.
John finally broke the long silence.
They are breaking diplomatic relations.
I accidentally broke the circuit.
Will this storm never break?
The heat wave finally broke yesterday.
The stocks may break on news of low earnings this quarter.
I think her fever is finally breaking.
The artist finally broke with the tradition of representational painting.
The partners broke over a disagreement about intellectual property rights.
He can't break his addiction to nicotine.
Breaking bad habits is very difficult.
He's broken every record for a two-year old race horse.
Let's break for lunch.
They broke hostilities for Christmas Day.
A little gossip during the day breaks the monotony on the assembly line.
Here and there a tree broke the flatness of the landscape.
The awning broke his fall to the ground."	0.0
break	16.3	interrupt, stop, discontinue	"The southern states tried to break away from the union during the Civil War.
She always breaks in when we're trying to have a serious conversation.
They broke off the engagement right before the wedding.
We broke off our vacation because of the bad weather.
Tina and Mike broke up after dating for a year.
The icebergs broke up in the warm weather.
The tobacco monopoly broke up.
His continued infidelity broke up the marriage.
The 13 colonies broke with England during the Revolution."	0.0
break	4	transgress, infract	"Did he break the law?
The dictator has broken every accord he signed in that treaty.
The will was broken."	0.0
break	5	subdue, train	"He breaks horses gently.
They administered capital punishment daily, but the prisoner would not break."	1.0
break	6	solve	"This computer can't break that code in log time.
The young dectective finally broke the case."	0.0
break	7	(cause to) come forth, emerge, occur	"It seemed as though dawn would never break on the horizon.
The first winter storm broke over New York.
Things are really breaking fast on this new project.
Break the news to them gently.
News of his resignation broke this afternoon.
When the story broke, they were still asleep.
Look, the whales are breaking over there!
The horse broke from the stable."	1.0
break	8	pierce	"Surprisingly the brambles didn't break her skin.
He broke the skin with a sharp needle.
The fish broke the water."	1.0
break	9	change in tone (as in voice breaking)	"His voice broke as he described the scene of the carnage.
Her teenaged brother gets embarrassed when his voice breaks."	0.0
break	10	physically enter unlawfully	He was arrested for breaking and entering.	1.0
break	11	demote	They broke his rank for misconduct in the line of duty.	0.0
break	12	change direction	The thundering herd of bison broke to the left.	1.0
break	13	dance	Those dancers can really break!	1.0
break	14	initiate a game of pool	John always seems to break whenever we play pool.	0.0
break	15	linguistic change	The simple vowels broke in many Germanic languages.	0.0
break	16.1	(cause to) come apart, separate, or split	"Thionic bacteria can break down pipe steel.
First we should break down the problem into manageable chunks.
The arm on this figurine broke off during the move.
He broke open the box as soon as he saw it on the table.
The pinata broke open when it hit the floor.
The crowd broke up when it started to rain.
The satellite broke up when it hit the atmosphere.
The cookie broke up after sitting in the milk.
The book dealer would not break up the set.
The icebergs broke up in the warming water."	1.0
break	3	interrupt, stop, discontinue	"She has decided to break all ties with him.
John finally broke the long silence.
They are breaking diplomatic relations.
I accidentally broke the circuit.
Will this storm never break?
The heat wave finally broke yesterday.
The stocks may break on news of low earnings this quarter.
I think her fever is finally breaking.
The artist finally broke with the tradition of representational painting.
The partners broke over a disagreement about intellectual property rights.
He can't break his addiction to nicotine.
Breaking bad habits is very difficult.
He's broken every record for a two-year old race horse.
Let's break for lunch.
They broke hostilities for Christmas Day.
A little gossip during the day breaks the monotony on the assembly line.
Here and there a tree broke the flatness of the landscape.
The awning broke his fall to the ground."	0.0
break	16.3	interrupt, stop, discontinue	"The southern states tried to break away from the union during the Civil War.
She always breaks in when we're trying to have a serious conversation.
They broke off the engagement right before the wedding.
We broke off our vacation because of the bad weather.
Tina and Mike broke up after dating for a year.
The icebergs broke up in the warm weather.
The tobacco monopoly broke up.
His continued infidelity broke up the marriage.
The 13 colonies broke with England during the Revolution."	0.0
break	16.4	(cause to) come forth, emerge, begin	"The man broke away from the crowd and fled down the alley.
How do I break in to acting?
Sandra was so happy, she broke into song.
The horse broke into a gallop.
All his pent-up anger broke loose.
The convict broke loose from the maximum-security prison.
War broke out the following spring.
The pigs broke out of the pen.
Why not break out the champagne?
Whenever I eat strawberries, I break out in hives."	1.0
break	16.5	pierce, penetrate	"The rescue team broke through the wall in the mine shaft.
When will that molar break through the gums?"	1.0
break	16.6	enter unlawfully	The thieves broke in after we had left.	1.0
break	16.7	cause to be not new	I like to break in new hiking boots before actually going on a hike.	0.0
break	16.8	suffer collapse or loss of control	"She broke down and started to cry.
It was so funny when he slipped, we broke up laughing.
After Pam left him, he just broke up."	1.0
dock	1	(Cause to) come into dock.	"The ship docked.
The crew docked the boats."	1.0
dock	2	Deprive someone of benefits or pay, usually  as a penalty.	"Your employer can dock your pay, even if you are nonexempt and do overtime.
There are other ways to cut health care costs without companies docking groups for personal choices."	0.0
